title,rating
Logan,8.1
Thor: Ragnarok,7.9
Guardians of the Galaxy Vol. 2,7.6
Dunkirk,7.8
Wonder Woman,7.4
Spider-Man: Homecoming,7.4
Star Wars: Episode VIII - The Last Jedi,6.9
Get Out,7.7
Blade Runner 2049,8.0
It,7.3
Baby Driver,7.6
Coco,8.4
"Three Billboards Outside Ebbing, Missouri",8.1
La casa de papel,8.2
Justice League,6.1
John Wick: Chapter 2,7.4
The Shape of Water,7.3
Dark,8.7
Jumanji: Welcome to the Jungle,6.9
Kingsman: The Golden Circle,6.7
Kong: Skull Island,6.6
Ozark,8.5
Pirates of the Caribbean: Dead Men Tell No Tales,6.5
Beauty and the Beast,7.1
13 Reasons Why,7.5
Lady Bird,7.4
Mindhunter,8.6
The Greatest Showman,7.5
Alien: Covenant,6.4
Call Me by Your Name,7.8
Murder on the Orient Express,6.5
War for the Planet of the Apes,7.4
Wind River,7.7
The Handmaid's Tale,8.4
The Punisher,8.5
The Fate of the Furious,6.6
Life,6.6
The Hitman's Bodyguard,6.9
Mother!,6.6
King Arthur: Legend of the Sword,6.7
"I, Tonya",7.5
Ghost in the Shell,6.3
Darkest Hour,7.4
Big Little Lies,8.5
Atomic Blonde,6.7
The End of the F***ing World,8.1
The Mummy,5.4
Bright,6.3
Baywatch,5.5
American Made,7.1
